Date,Account,Debit,Credit
24-04-12,Food Sales,,2729
25-04-12,Food Sales,,2684
26-04-12,Food Sales,,3499
27-04-12,Food Sales,,4073
28-04-12,Food Sales,,4931
29-04-12,Food Sales,,2632
30-04-12,Food Sales,,451
01-05-12,Food Sales,,2223
02-05-12,Food Sales,,1548
03-05-12,Food Sales,,2890
04-05-12,Food Sales,,4052
05-05-12,Food Sales,,5074
06-05-12,Food Sales,,2250
08-05-12,Food Sales,,2751
09-05-12,Food Sales,,2774
10-05-12,Food Sales,,2409
11-05-12,Food Sales,,4832
12-05-12,Food Sales,,4712
13-05-12,Food Sales,,6155
15-05-12,Food Sales,,2788
16-05-12,Food Sales,,2595
17-05-12,Food Sales,,2452
18-05-12,Food Sales,,4247
19-05-12,Food Sales,,124
19-05-12,Food Sales,,4660
20-05-12,Food Sales,,264
20-05-12,Food Sales,,3816
22-05-12,Food Sales,,1412
23-05-12,Food Sales,,2986
24-05-12,Food Sales,,3163
25-05-12,Food Sales,,4411
26-05-12,Food Sales,,438
26-05-12,Food Sales,,6425
27-05-12,Food Sales,,421
27-05-12,Food Sales,,3614
29-05-12,Food Sales,,2515
30-05-12,Food Sales,,2152
31-05-12,Food Sales,,3544
31-05-12,Food Sales,,372
01-06-12,Food Sales,,2966
02-06-12,Food Sales,,425
02-06-12,Food Sales,,5042
03-06-12,Food Sales,,862
03-06-12,Food Sales,,3205
04-06-12,Food Sales,,7
05-06-12,Food Sales,,2529
06-06-12,Food Sales,,3412
07-06-12,Food Sales,,3613
08-06-12,Food Sales,,4769
09-06-12,Food Sales,,5132
09-06-12,Food Sales,,381
10-06-12,Food Sales,,2532
10-06-12,Food Sales,,356
12-06-12,Food Sales,,3470
13-06-12,Food Sales,,3384
14-06-12,Food Sales,,3998
15-06-12,Food Sales,,5469
16-06-12,Food Sales,,5605
17-06-12,Food Sales,,3570
18-06-12,Food Sales,,2250
19-06-12,Food Sales,,2681
20-06-12,Food Sales,,2826
21-06-12,Food Sales,,4753
22-06-12,Food Sales,,5202
23-06-12,Food Sales,,4726
24-06-12,Food Sales,,3201
26-06-12,Food Sales,,3158
27-06-12,Food Sales,,3023
28-06-12,Food Sales,,2953
29-06-12,Food Sales,,4510
30-06-12,Food Sales,,4845
01-07-12,Food Sales,,2140
03-07-12,Food Sales,,2032
04-07-12,Food Sales,,2198
05-07-12,Food Sales,,3625
06-07-12,Food Sales,,4375
07-07-12,Food Sales,,4656
08-07-12,Food Sales,,2200
10-07-12,Food Sales,,2908
11-07-12,Food Sales,,4034
12-07-12,Food Sales,,3554
13-07-12,Food Sales,,4906
14-07-12,Food Sales,,3951
15-07-12,Food Sales,,2607
17-07-12,Food Sales,,2113
18-07-12,Food Sales,,3672
20-07-12,Food Sales,,3899
20-07-12,Food Sales,,5378
21-07-12,Food Sales,,4171
22-07-12,Food Sales,,1818
24-07-12,Food Sales,,3854
25-07-12,Food Sales,,2907
26-07-12,Food Sales,,2576
27-07-12,Food Sales,,3836
28-07-12,Food Sales,,4310
29-07-12,Food Sales,,2795
30-07-12,Food Sales,540,
31-07-12,Food Sales,,2681
01-08-12,Food Sales,,3461
02-08-12,Food Sales,,4766
03-08-12,Food Sales,,3644
04-08-12,Food Sales,,3257
05-08-12,Food Sales,,2782
08-08-12,Food Sales,,2329
09-08-12,Food Sales,,3092
10-08-12,Food Sales,,2721
10-08-12,Food Sales,,4690
11-08-12,Food Sales,,4607
12-08-12,Food Sales,,2530
14-08-12,Food Sales,,1861
15-08-12,Food Sales,,2789
16-08-12,Food Sales,,4244
17-08-12,Food Sales,,5404
19-08-12,Food Sales,,4029
19-08-12,Food Sales,,1961
21-08-12,Food Sales,,3382
22-08-12,Food Sales,,4226
23-08-12,Food Sales,,3440
24-08-12,Food Sales,,4803
25-08-12,Food Sales,,5312
26-08-12,Food Sales,,2983
28-08-12,Food Sales,,3061
29-08-12,Food Sales,,3126
30-08-12,Food Sales,,3375
31-08-12,Food Sales,,5449
01-09-12,Food Sales,,4356
02-09-12,Food Sales,,5515
04-09-12,Food Sales,,1954
05-09-12,Food Sales,,1862
06-09-12,Food Sales,,3401
07-09-12,Food Sales,,4680
08-09-12,Food Sales,,6444
09-09-12,Food Sales,,4930
11-09-12,Food Sales,,2849
12-09-12,Food Sales,,1943
13-09-12,Food Sales,,2977
14-09-12,Food Sales,,5870
15-09-12,Food Sales,,5289
16-09-12,Food Sales,0,
16-09-12,Food Sales,,3480
18-09-12,Food Sales,,2401
19-09-12,Food Sales,,2490
20-09-12,Food Sales,,2351
21-09-12,Food Sales,,3804
22-09-12,Food Sales,,4449
23-09-12,Food Sales,,2380
25-09-12,Food Sales,,2734
26-09-12,Food Sales,,1972
27-09-12,Food Sales,,2082
28-09-12,Food Sales,,4342
29-09-12,Food Sales,,4956
30-09-12,Food Sales,,1825
02-10-12,Food Sales,,2782
03-10-12,Food Sales,,1107
04-10-12,Food Sales,,2163
05-10-12,Food Sales,,3348
06-10-12,Food Sales,,3276
07-10-12,Food Sales,,910
09-10-12,Food Sales,,1046
10-10-12,Food Sales,,1292
11-10-12,Food Sales,,2044
12-10-12,Food Sales,,4104
13-10-12,Food Sales,,4828
14-10-12,Food Sales,,1687
15-10-12,Food Sales,,1418
16-10-12,Food Sales,,1989
17-10-12,Food Sales,,1790
18-10-12,Food Sales,,1616
19-10-12,Food Sales,,3810
20-10-12,Food Sales,,4861
21-10-12,Food Sales,,2467
22-10-12,Food Sales,,703
23-10-12,Food Sales,,1331
24-10-12,Food Sales,,2310
25-10-12,Food Sales,,2319
26-10-12,Food Sales,,4985
27-10-12,Food Sales,,4279
28-10-12,Food Sales,,2717
29-10-12,Food Sales,,668
30-10-12,Food Sales,,1128
31-10-12,Food Sales,,1313
01-11-12,Food Sales,,1680
02-11-12,Food Sales,,4261
03-11-12,Food Sales,,4867
04-11-12,Food Sales,,2093
05-11-12,Food Sales,,1150
06-11-12,Food Sales,,1131
07-11-12,Food Sales,,1675
08-11-12,Food Sales,,2271
09-11-12,Food Sales,,4044
10-11-12,Food Sales,,5388
11-11-12,Food Sales,,1945
12-11-12,Food Sales,,1341
13-11-12,Food Sales,,2009
14-11-12,Food Sales,,1196
15-11-12,Food Sales,,2306
16-11-12,Food Sales,,3967
17-11-12,Food Sales,,4619
18-11-12,Food Sales,,2375
19-11-12,Food Sales,,852
20-11-12,Food Sales,,1344
21-11-12,Food Sales,,1869
22-11-12,Food Sales,,1892
23-11-12,Food Sales,,4591
24-11-12,Food Sales,,4408
25-11-12,Food Sales,,1619
26-11-12,Food Sales,,1388
27-11-12,Food Sales,,1402
28-11-12,Food Sales,,1854
29-11-12,Food Sales,,2207
30-11-12,Food Sales,,3782
01-12-12,Food Sales,,5090
02-12-12,Food Sales,,2387
03-12-12,Food Sales,,772
04-12-12,Food Sales,,2238
05-12-12,Food Sales,,1443
06-12-12,Food Sales,,3058
07-12-12,Food Sales,,4838
08-12-12,Food Sales,,4184
09-12-12,Food Sales,,2134
10-12-12,Food Sales,,1709
11-12-12,Food Sales,,1272
12-12-12,Food Sales,,3753
13-12-12,Food Sales,,2754
14-12-12,Food Sales,,4500
15-12-12,Food Sales,,4413
16-12-12,Food Sales,,1990
17-12-12,Food Sales,,1670
18-12-12,Food Sales,,2374
19-12-12,Food Sales,,4086
20-12-12,Food Sales,,2733
21-12-12,Food Sales,,3617
22-12-12,Food Sales,,4089
23-12-12,Food Sales,,2275
28-12-12,Food Sales,,2162
29-12-12,Food Sales,,2616
30-12-12,Food Sales,,1530
31-12-12,Food Sales,,5184
03-01-13,Food Sales,,2423
04-01-13,Food Sales,,3191
05-01-13,Food Sales,,3894
06-01-13,Food Sales,,1178
08-01-13,Food Sales,,1039
09-01-13,Food Sales,,1581
10-01-13,Food Sales,,1987
11-01-13,Food Sales,,3795
12-01-13,Food Sales,,4346
13-01-13,Food Sales,,1112
14-01-13,Food Sales,,932
15-01-13,Food Sales,,1716
17-01-13,Food Sales,,2466
17-01-13,Food Sales,,1977
18-01-13,Food Sales,,4613
19-01-13,Food Sales,,4138
20-01-13,Food Sales,,1401
21-01-13,Food Sales,,789
22-01-13,Food Sales,,969
23-01-13,Food Sales,,1608
24-01-13,Food Sales,,1349
25-01-13,Food Sales,,3520
26-01-13,Food Sales,,3563
27-01-13,Food Sales,,1677
28-01-13,Food Sales,,615
29-01-13,Food Sales,,1669
30-01-13,Food Sales,,1305
31-01-13,Food Sales,,1467
01-02-13,Food Sales,,3684
02-02-13,Food Sales,,3948
03-02-13,Food Sales,,404
04-02-13,Food Sales,,535
05-02-13,Food Sales,,1312
06-02-13,Food Sales,,2280
07-02-13,Food Sales,,1940
08-02-13,Food Sales,,1490
09-02-13,Food Sales,,3966
10-02-13,Food Sales,,2043
11-02-13,Food Sales,,710
12-02-13,Food Sales,,1616
13-02-13,Food Sales,,2690
14-02-13,Food Sales,,4973
15-02-13,Food Sales,,4728
16-02-13,Food Sales,,4450
18-02-13,Food Sales,,2658
19-02-13,Food Sales,,763
20-02-13,Food Sales,,1072
21-02-13,Food Sales,,1282
22-02-13,Food Sales,,3779
23-02-13,Food Sales,,4396
24-02-13,Food Sales,,918
25-02-13,Food Sales,0,
25-02-13,Food Sales,,641
26-02-13,Food Sales,,1384
27-02-13,Food Sales,,920
28-02-13,Food Sales,,2393
01-03-13,Food Sales,,3321
02-03-13,Food Sales,,4119
03-03-13,Food Sales,,1880
04-03-13,Food Sales,,760
05-03-13,Food Sales,,1148
06-03-13,Food Sales,,1484
07-03-13,Food Sales,,1265
08-03-13,Food Sales,,3630
09-03-13,Food Sales,,4554
10-03-13,Food Sales,,1355
11-03-13,Food Sales,,1433
12-03-13,Food Sales,,1479
13-03-13,Food Sales,,1824
14-03-13,Food Sales,,2148
15-03-13,Food Sales,,3314
16-03-13,Food Sales,,4155
17-03-13,Food Sales,,2116
18-03-13,Food Sales,,999
19-03-13,Food Sales,,1204
20-03-13,Food Sales,,1347
21-03-13,Food Sales,,1550
23-03-13,Food Sales,,4354
24-03-13,Food Sales,,1660
25-03-13,Food Sales,,838
26-03-13,Food Sales,,2355
27-03-13,Food Sales,,1568
28-03-13,Food Sales,,2384
29-03-13,Food Sales,,3326
30-03-13,Food Sales,,3845
31-03-13,Food Sales,,1780
02-04-13,Food Sales,,1410
03-04-13,Food Sales,,1475
04-04-13,Food Sales,,2129
05-04-13,Food Sales,,2897
06-04-13,Food Sales,,4285
07-04-13,Food Sales,,2150
08-04-13,Food Sales,,739
10-04-13,Food Sales,,1745
10-04-13,Food Sales,,2021
11-04-13,Food Sales,,1287
12-04-13,Food Sales,,3974
14-04-13,Food Sales,,4062
15-04-13,Food Sales,,2777
15-04-13,Food Sales,,1007
16-04-13,Food Sales,,1654
17-04-13,Food Sales,,1868
18-04-13,Food Sales,,1488
19-04-13,Food Sales,,4036
20-04-13,Food Sales,,3910
21-04-13,Food Sales,,2395
22-04-13,Food Sales,,969
