Date,Account,Debit,Credit
17-11-13,Non-Alcoholic Sales,,75
18-11-13,Non-Alcoholic Sales,,27
19-11-13,Non-Alcoholic Sales,,61
20-11-13,Non-Alcoholic Sales,,40
21-11-13,Non-Alcoholic Sales,,146
23-11-13,Non-Alcoholic Sales,,106
23-11-13,Non-Alcoholic Sales,,214
24-11-13,Non-Alcoholic Sales,,71
25-11-13,Non-Alcoholic Sales,,44
26-11-13,Non-Alcoholic Sales,,31
27-11-13,Non-Alcoholic Sales,,65
28-11-13,Non-Alcoholic Sales,,146
29-11-13,Non-Alcoholic Sales,,258
30-11-13,Non-Alcoholic Sales,,237
01-12-13,Non-Alcoholic Sales,,80
02-12-13,Non-Alcoholic Sales,,68
03-12-13,Non-Alcoholic Sales,,37
04-12-13,Non-Alcoholic Sales,,107
05-12-13,Non-Alcoholic Sales,,105
06-12-13,Non-Alcoholic Sales,,178
07-12-13,Non-Alcoholic Sales,,130
08-12-13,Non-Alcoholic Sales,,38
09-12-13,Non-Alcoholic Sales,,99
10-12-13,Non-Alcoholic Sales,,150
11-12-13,Non-Alcoholic Sales,,116
12-12-13,Non-Alcoholic Sales,,143
13-12-13,Non-Alcoholic Sales,,96
14-12-13,Non-Alcoholic Sales,,120
15-12-13,Non-Alcoholic Sales,,72
16-12-13,Non-Alcoholic Sales,,106
17-12-13,Non-Alcoholic Sales,,134
18-12-13,Non-Alcoholic Sales,,116
19-12-13,Non-Alcoholic Sales,,148
20-12-13,Non-Alcoholic Sales,,95
21-12-13,Non-Alcoholic Sales,,115
22-12-13,Non-Alcoholic Sales,,56
23-12-13,Non-Alcoholic Sales,,89
27-12-13,Non-Alcoholic Sales,,128
28-12-13,Non-Alcoholic Sales,,266
29-12-13,Non-Alcoholic Sales,,100
30-12-13,Non-Alcoholic Sales,,130
31-12-13,Non-Alcoholic Sales,,274
02-01-14,Non-Alcoholic Sales,,54
03-01-14,Non-Alcoholic Sales,,112
04-01-14,Non-Alcoholic Sales,,180
05-01-14,Non-Alcoholic Sales,,43
07-01-14,Non-Alcoholic Sales,,34
08-01-14,Non-Alcoholic Sales,,25
09-01-14,Non-Alcoholic Sales,,54
10-01-14,Non-Alcoholic Sales,,162
11-01-14,Non-Alcoholic Sales,,192
12-01-14,Non-Alcoholic Sales,,50
13-01-14,Non-Alcoholic Sales,,22
14-01-14,Non-Alcoholic Sales,,21
15-01-14,Non-Alcoholic Sales,,54
16-01-14,Non-Alcoholic Sales,,110
17-01-14,Non-Alcoholic Sales,,178
18-01-14,Non-Alcoholic Sales,,182
19-01-14,Non-Alcoholic Sales,,82
20-01-14,Non-Alcoholic Sales,,29
21-01-14,Non-Alcoholic Sales,,63
22-01-14,Non-Alcoholic Sales,,24
23-01-14,Non-Alcoholic Sales,,109
24-01-14,Non-Alcoholic Sales,,167
25-01-14,Non-Alcoholic Sales,,217
26-01-14,Non-Alcoholic Sales,,19
28-01-14,Non-Alcoholic Sales,,46
28-01-14,Non-Alcoholic Sales,,24
29-01-14,Non-Alcoholic Sales,,19
30-01-14,Non-Alcoholic Sales,,18
31-01-14,Non-Alcoholic Sales,,99
01-02-14,Non-Alcoholic Sales,,170
02-02-14,Non-Alcoholic Sales,,76
03-02-14,Non-Alcoholic Sales,,45
04-02-14,Non-Alcoholic Sales,,21
05-02-14,Non-Alcoholic Sales,,36
07-02-14,Non-Alcoholic Sales,,61
07-02-14,Non-Alcoholic Sales,,120
08-02-14,Non-Alcoholic Sales,,249
09-02-14,Non-Alcoholic Sales,,125
10-02-14,Non-Alcoholic Sales,,31
11-02-14,Non-Alcoholic Sales,,51
12-02-14,Non-Alcoholic Sales,,83
13-02-14,Non-Alcoholic Sales,,107
14-02-14,Non-Alcoholic Sales,,259
15-02-14,Non-Alcoholic Sales,,177
16-02-14,Non-Alcoholic Sales,,126
17-02-14,Non-Alcoholic Sales,,81
18-02-14,Non-Alcoholic Sales,,10
19-02-14,Non-Alcoholic Sales,,21
20-02-14,Non-Alcoholic Sales,,67
21-02-14,Non-Alcoholic Sales,,136
22-02-14,Non-Alcoholic Sales,,105
23-02-14,Non-Alcoholic Sales,,94
24-02-14,Non-Alcoholic Sales,,35
25-02-14,Non-Alcoholic Sales,,16
26-02-14,Non-Alcoholic Sales,,82
27-02-14,Non-Alcoholic Sales,,21
28-02-14,Non-Alcoholic Sales,,158
01-03-14,Non-Alcoholic Sales,,210
02-03-14,Non-Alcoholic Sales,,50
03-03-14,Non-Alcoholic Sales,,30
04-03-14,Non-Alcoholic Sales,,61
05-03-14,Non-Alcoholic Sales,,35
06-03-14,Non-Alcoholic Sales,,61
07-03-14,Non-Alcoholic Sales,,319
08-03-14,Non-Alcoholic Sales,,130
09-03-14,Non-Alcoholic Sales,,53
10-03-14,Non-Alcoholic Sales,,98
11-03-14,Non-Alcoholic Sales,,29
12-03-14,Non-Alcoholic Sales,,33
13-03-14,Non-Alcoholic Sales,,111
14-03-14,Non-Alcoholic Sales,,183
15-03-14,Non-Alcoholic Sales,,203
16-03-14,Non-Alcoholic Sales,,47
17-03-14,Non-Alcoholic Sales,,34
18-03-14,Non-Alcoholic Sales,,67
19-03-14,Non-Alcoholic Sales,,53
20-03-14,Non-Alcoholic Sales,,57
21-03-14,Non-Alcoholic Sales,,157
22-03-14,Non-Alcoholic Sales,,179
23-03-14,Non-Alcoholic Sales,,78
24-03-14,Non-Alcoholic Sales,,116
25-03-14,Non-Alcoholic Sales,,79
26-03-14,Non-Alcoholic Sales,,136
27-03-14,Non-Alcoholic Sales,,105
28-03-14,Non-Alcoholic Sales,,90
29-03-14,Non-Alcoholic Sales,,237
30-03-14,Non-Alcoholic Sales,,100
31-03-14,Non-Alcoholic Sales,,61
02-04-14,Non-Alcoholic Sales,,29
02-04-14,Non-Alcoholic Sales,,91
03-04-14,Non-Alcoholic Sales,,79
04-04-14,Non-Alcoholic Sales,,188
05-04-14,Non-Alcoholic Sales,,164
06-04-14,Non-Alcoholic Sales,,89
07-04-14,Non-Alcoholic Sales,,43
08-04-14,Non-Alcoholic Sales,,52
09-04-14,Non-Alcoholic Sales,,44
10-04-14,Non-Alcoholic Sales,,104
11-04-14,Non-Alcoholic Sales,,171
12-04-14,Non-Alcoholic Sales,,170
13-04-14,Non-Alcoholic Sales,,128
14-04-14,Non-Alcoholic Sales,,42
15-04-14,Non-Alcoholic Sales,,69
16-04-14,Non-Alcoholic Sales,,45
17-04-14,Non-Alcoholic Sales,,169
18-04-14,Non-Alcoholic Sales,,121
19-04-14,Non-Alcoholic Sales,,211
20-04-14,Non-Alcoholic Sales,,79
22-04-14,Non-Alcoholic Sales,,42
23-04-14,Non-Alcoholic Sales,,116
24-04-14,Non-Alcoholic Sales,,84
25-04-14,Non-Alcoholic Sales,,188
26-04-14,Non-Alcoholic Sales,,242
27-04-14,Non-Alcoholic Sales,,67
28-04-14,Non-Alcoholic Sales,,101
29-04-14,Non-Alcoholic Sales,,65
30-04-14,Non-Alcoholic Sales,,55
01-05-14,Non-Alcoholic Sales,,161
02-05-14,Non-Alcoholic Sales,,136
03-05-14,Non-Alcoholic Sales,,269
04-05-14,Non-Alcoholic Sales,,100
05-05-14,Non-Alcoholic Sales,,94
06-05-14,Non-Alcoholic Sales,,45
07-05-14,Non-Alcoholic Sales,,107
08-05-14,Non-Alcoholic Sales,,99
09-05-14,Non-Alcoholic Sales,,186
10-05-14,Non-Alcoholic Sales,,365
11-05-14,Non-Alcoholic Sales,,460
12-05-14,Non-Alcoholic Sales,,81
13-05-14,Non-Alcoholic Sales,,77
14-05-14,Non-Alcoholic Sales,,79
15-05-14,Non-Alcoholic Sales,,150
16-05-14,Non-Alcoholic Sales,,135
18-05-14,Non-Alcoholic Sales,,219
18-05-14,Non-Alcoholic Sales,,190
20-05-14,Non-Alcoholic Sales,,58
21-05-14,Non-Alcoholic Sales,,68
22-05-14,Non-Alcoholic Sales,,138
23-05-14,Non-Alcoholic Sales,,188
24-05-14,Non-Alcoholic Sales,,223
25-05-14,Non-Alcoholic Sales,,112
26-05-14,Non-Alcoholic Sales,,39
27-05-14,Non-Alcoholic Sales,,66
28-05-14,Non-Alcoholic Sales,,132
29-05-14,Non-Alcoholic Sales,,125
30-05-14,Non-Alcoholic Sales,,149
31-05-14,Non-Alcoholic Sales,,223
01-06-14,Non-Alcoholic Sales,,119
02-06-14,Non-Alcoholic Sales,,70
03-06-14,Non-Alcoholic Sales,,114
04-06-14,Non-Alcoholic Sales,,141
05-06-14,Non-Alcoholic Sales,,133
06-06-14,Non-Alcoholic Sales,,163
07-06-14,Non-Alcoholic Sales,,330
08-06-14,Non-Alcoholic Sales,,86
09-06-14,Non-Alcoholic Sales,,208
10-06-14,Non-Alcoholic Sales,0,
10-06-14,Non-Alcoholic Sales,,121
11-06-14,Non-Alcoholic Sales,,74
12-06-14,Non-Alcoholic Sales,,154
13-06-14,Non-Alcoholic Sales,,219
14-06-14,Non-Alcoholic Sales,,297
15-06-14,Non-Alcoholic Sales,,200
16-06-14,Non-Alcoholic Sales,,140
17-06-14,Non-Alcoholic Sales,,101
18-06-14,Non-Alcoholic Sales,,89
19-06-14,Non-Alcoholic Sales,,251
20-06-14,Non-Alcoholic Sales,,294
21-06-14,Non-Alcoholic Sales,,295
22-06-14,Non-Alcoholic Sales,,151
23-06-14,Non-Alcoholic Sales,,57
24-06-14,Non-Alcoholic Sales,,107
25-06-14,Non-Alcoholic Sales,,64
26-06-14,Non-Alcoholic Sales,,186
27-06-14,Non-Alcoholic Sales,,194
28-06-14,Non-Alcoholic Sales,,128
29-06-14,Non-Alcoholic Sales,,107
30-06-14,Non-Alcoholic Sales,,59
02-07-14,Non-Alcoholic Sales,,182
03-07-14,Non-Alcoholic Sales,,128
04-07-14,Non-Alcoholic Sales,,173
05-07-14,Non-Alcoholic Sales,,131
06-07-14,Non-Alcoholic Sales,,126
07-07-14,Non-Alcoholic Sales,,95
08-07-14,Non-Alcoholic Sales,,95
09-07-14,Non-Alcoholic Sales,,129
10-07-14,Non-Alcoholic Sales,,90
11-07-14,Non-Alcoholic Sales,,194
12-07-14,Non-Alcoholic Sales,,147
13-07-14,Non-Alcoholic Sales,,147
14-07-14,Non-Alcoholic Sales,,114
15-07-14,Non-Alcoholic Sales,,78
16-07-14,Non-Alcoholic Sales,,186
17-07-14,Non-Alcoholic Sales,,54
18-07-14,Non-Alcoholic Sales,,191
19-07-14,Non-Alcoholic Sales,,170
20-07-14,Non-Alcoholic Sales,,24
21-07-14,Non-Alcoholic Sales,,48
22-07-14,Non-Alcoholic Sales,,93
23-07-14,Non-Alcoholic Sales,,159
24-07-14,Non-Alcoholic Sales,,136
25-07-14,Non-Alcoholic Sales,,195
26-07-14,Non-Alcoholic Sales,,165
27-07-14,Non-Alcoholic Sales,,145
28-07-14,Non-Alcoholic Sales,,54
29-07-14,Non-Alcoholic Sales,,118
30-07-14,Non-Alcoholic Sales,,103
31-07-14,Non-Alcoholic Sales,,146
01-08-14,Non-Alcoholic Sales,,174
02-08-14,Non-Alcoholic Sales,,154
03-08-14,Non-Alcoholic Sales,,122
05-08-14,Non-Alcoholic Sales,,93
06-08-14,Non-Alcoholic Sales,,102
06-08-14,Non-Alcoholic Sales,,86
08-08-14,Non-Alcoholic Sales,,153
09-08-14,Non-Alcoholic Sales,,152
10-08-14,Non-Alcoholic Sales,,102
11-08-14,Non-Alcoholic Sales,,121
12-08-14,Non-Alcoholic Sales,,155
13-08-14,Non-Alcoholic Sales,,117
14-08-14,Non-Alcoholic Sales,,93
15-08-14,Non-Alcoholic Sales,,104
16-08-14,Non-Alcoholic Sales,,243
17-08-14,Non-Alcoholic Sales,,112
18-08-14,Non-Alcoholic Sales,,103
19-08-14,Non-Alcoholic Sales,,80
20-08-14,Non-Alcoholic Sales,,98
21-08-14,Non-Alcoholic Sales,,75
22-08-14,Non-Alcoholic Sales,,198
23-08-14,Non-Alcoholic Sales,,184
24-08-14,Non-Alcoholic Sales,,208
25-08-14,Non-Alcoholic Sales,,126
26-08-14,Non-Alcoholic Sales,,83
27-08-14,Non-Alcoholic Sales,,188
28-08-14,Non-Alcoholic Sales,,127
29-08-14,Non-Alcoholic Sales,,137
30-08-14,Non-Alcoholic Sales,,45
31-08-14,Non-Alcoholic Sales,,81
01-09-14,Non-Alcoholic Sales,,132
02-09-14,Non-Alcoholic Sales,,47
03-09-14,Non-Alcoholic Sales,,77
04-09-14,Non-Alcoholic Sales,,94
05-09-14,Non-Alcoholic Sales,,193
06-09-14,Non-Alcoholic Sales,,259
07-09-14,Non-Alcoholic Sales,,139
08-09-14,Non-Alcoholic Sales,,45
09-09-14,Non-Alcoholic Sales,,64
10-09-14,Non-Alcoholic Sales,,101
11-09-14,Non-Alcoholic Sales,,101
12-09-14,Non-Alcoholic Sales,,147
13-09-14,Non-Alcoholic Sales,,120
14-09-14,Non-Alcoholic Sales,,157
16-09-14,Non-Alcoholic Sales,,58
17-09-14,Non-Alcoholic Sales,,95
18-09-14,Non-Alcoholic Sales,,65
19-09-14,Non-Alcoholic Sales,,140
20-09-14,Non-Alcoholic Sales,,203
21-09-14,Non-Alcoholic Sales,,81
22-09-14,Non-Alcoholic Sales,,76
23-09-14,Non-Alcoholic Sales,,121
24-09-14,Non-Alcoholic Sales,,64
25-09-14,Non-Alcoholic Sales,,87
26-09-14,Non-Alcoholic Sales,,121
27-09-14,Non-Alcoholic Sales,,196
28-09-14,Non-Alcoholic Sales,,67
29-09-14,Non-Alcoholic Sales,,28
30-09-14,Non-Alcoholic Sales,,52
30-09-14,Non-Alcoholic Sales,,19
01-10-14,Non-Alcoholic Sales,,92
02-10-14,Non-Alcoholic Sales,,120
03-10-14,Non-Alcoholic Sales,,155
04-10-14,Non-Alcoholic Sales,,131
05-10-14,Non-Alcoholic Sales,,77
06-10-14,Non-Alcoholic Sales,,71
07-10-14,Non-Alcoholic Sales,,98
08-10-14,Non-Alcoholic Sales,,36
09-10-14,Non-Alcoholic Sales,,41
10-10-14,Non-Alcoholic Sales,,116
11-10-14,Non-Alcoholic Sales,,50
12-10-14,Non-Alcoholic Sales,,24
14-10-14,Non-Alcoholic Sales,,23
15-10-14,Non-Alcoholic Sales,,86
16-10-14,Non-Alcoholic Sales,,75
17-10-14,Non-Alcoholic Sales,,149
18-10-14,Non-Alcoholic Sales,,129
19-10-14,Non-Alcoholic Sales,,47
20-10-14,Non-Alcoholic Sales,,69
21-10-14,Non-Alcoholic Sales,,57
22-10-14,Non-Alcoholic Sales,,120
23-10-14,Non-Alcoholic Sales,,48
24-10-14,Non-Alcoholic Sales,,154
25-10-14,Non-Alcoholic Sales,,249
27-10-14,Non-Alcoholic Sales,,23
28-10-14,Non-Alcoholic Sales,,45
29-10-14,Non-Alcoholic Sales,,124
30-10-14,Non-Alcoholic Sales,,125
31-10-14,Non-Alcoholic Sales,,104
01-11-14,Non-Alcoholic Sales,,185
02-11-14,Non-Alcoholic Sales,,109
03-11-14,Non-Alcoholic Sales,,53
04-11-14,Non-Alcoholic Sales,,85
05-11-14,Non-Alcoholic Sales,,89
06-11-14,Non-Alcoholic Sales,,135
07-11-14,Non-Alcoholic Sales,,126
08-11-14,Non-Alcoholic Sales,,173
09-11-14,Non-Alcoholic Sales,,56
10-11-14,Non-Alcoholic Sales,,38
11-11-14,Non-Alcoholic Sales,,57
12-11-14,Non-Alcoholic Sales,,168
13-11-14,Non-Alcoholic Sales,,75
14-11-14,Non-Alcoholic Sales,,128
15-11-14,Non-Alcoholic Sales,,136
16-11-14,Non-Alcoholic Sales,,26
17-11-14,Non-Alcoholic Sales,,25
18-11-14,Non-Alcoholic Sales,,102
19-11-14,Non-Alcoholic Sales,,59
20-11-14,Non-Alcoholic Sales,,103
21-11-14,Non-Alcoholic Sales,,103
22-11-14,Non-Alcoholic Sales,,160
23-11-14,Non-Alcoholic Sales,,29
24-11-14,Non-Alcoholic Sales,,37
25-11-14,Non-Alcoholic Sales,,101
26-11-14,Non-Alcoholic Sales,,97
27-11-14,Non-Alcoholic Sales,,110
28-11-14,Non-Alcoholic Sales,,180
29-11-14,Non-Alcoholic Sales,,196
30-11-14,Non-Alcoholic Sales,,100
01-12-14,Non-Alcoholic Sales,,59
02-12-14,Non-Alcoholic Sales,,91
03-12-14,Non-Alcoholic Sales,,64
04-12-14,Non-Alcoholic Sales,,66
05-12-14,Non-Alcoholic Sales,,140
06-12-14,Non-Alcoholic Sales,,194
07-12-14,Non-Alcoholic Sales,,102
08-12-14,Non-Alcoholic Sales,,69
09-12-14,Non-Alcoholic Sales,,92
10-12-14,Non-Alcoholic Sales,,106
11-12-14,Non-Alcoholic Sales,,79
12-12-14,Non-Alcoholic Sales,,185
13-12-14,Non-Alcoholic Sales,,212
14-12-14,Non-Alcoholic Sales,,115
15-12-14,Non-Alcoholic Sales,,54
16-12-14,Non-Alcoholic Sales,,188
17-12-14,Non-Alcoholic Sales,,108
18-12-14,Non-Alcoholic Sales,,124
19-12-14,Non-Alcoholic Sales,,129
19-12-14,Non-Alcoholic Sales,,111
21-12-14,Non-Alcoholic Sales,,121
26-12-14,Non-Alcoholic Sales,,87
27-12-14,Non-Alcoholic Sales,,102
28-12-14,Non-Alcoholic Sales,,94
29-12-14,Non-Alcoholic Sales,,59
30-12-14,Non-Alcoholic Sales,,106
31-12-14,Non-Alcoholic Sales,,211
02-01-15,Non-Alcoholic Sales,,184
03-01-15,Non-Alcoholic Sales,,61
04-01-15,Non-Alcoholic Sales,,51
06-01-15,Non-Alcoholic Sales,,28
07-01-15,Non-Alcoholic Sales,,29
08-01-15,Non-Alcoholic Sales,,28
09-01-15,Non-Alcoholic Sales,,92
10-01-15,Non-Alcoholic Sales,,261
12-01-15,Non-Alcoholic Sales,,49
13-01-15,Non-Alcoholic Sales,,44
14-01-15,Non-Alcoholic Sales,,113
15-01-15,Non-Alcoholic Sales,,56
16-01-15,Non-Alcoholic Sales,,157
17-01-15,Non-Alcoholic Sales,,122
18-01-15,Non-Alcoholic Sales,,70
19-01-15,Non-Alcoholic Sales,,12
20-01-15,Non-Alcoholic Sales,,49
21-01-15,Non-Alcoholic Sales,,97
22-01-15,Non-Alcoholic Sales,,54
23-01-15,Non-Alcoholic Sales,,75
24-01-15,Non-Alcoholic Sales,,160
25-01-15,Non-Alcoholic Sales,,52
26-01-15,Non-Alcoholic Sales,,21
27-01-15,Non-Alcoholic Sales,,59
28-01-15,Non-Alcoholic Sales,,48
29-01-15,Non-Alcoholic Sales,,88
30-01-15,Non-Alcoholic Sales,,200
31-01-15,Non-Alcoholic Sales,,183
01-02-15,Non-Alcoholic Sales,,38
02-02-15,Non-Alcoholic Sales,,20
03-02-15,Non-Alcoholic Sales,,52
04-02-15,Non-Alcoholic Sales,,74
05-02-15,Non-Alcoholic Sales,,55
06-02-15,Non-Alcoholic Sales,,86
07-02-15,Non-Alcoholic Sales,,146
08-02-15,Non-Alcoholic Sales,,55
09-02-15,Non-Alcoholic Sales,,14
10-02-15,Non-Alcoholic Sales,,10
11-02-15,Non-Alcoholic Sales,,43
12-02-15,Non-Alcoholic Sales,,58
13-02-15,Non-Alcoholic Sales,,153
14-02-15,Non-Alcoholic Sales,,141
15-02-15,Non-Alcoholic Sales,,149
17-02-15,Non-Alcoholic Sales,,63
18-02-15,Non-Alcoholic Sales,,27
19-02-15,Non-Alcoholic Sales,,48
20-02-15,Non-Alcoholic Sales,,74
21-02-15,Non-Alcoholic Sales,,181
22-02-15,Non-Alcoholic Sales,,37
23-02-15,Non-Alcoholic Sales,,32
24-02-15,Non-Alcoholic Sales,,34
25-02-15,Non-Alcoholic Sales,,55
26-02-15,Non-Alcoholic Sales,,55
27-02-15,Non-Alcoholic Sales,,64
28-02-15,Non-Alcoholic Sales,,139
01-03-15,Non-Alcoholic Sales,,54
02-03-15,Non-Alcoholic Sales,,60
03-03-15,Non-Alcoholic Sales,,36
04-03-15,Non-Alcoholic Sales,,36
05-03-15,Non-Alcoholic Sales,,102
06-03-15,Non-Alcoholic Sales,,100
07-03-15,Non-Alcoholic Sales,,104
08-03-15,Non-Alcoholic Sales,,30
10-03-15,Non-Alcoholic Sales,,25
11-03-15,Non-Alcoholic Sales,,65
12-03-15,Non-Alcoholic Sales,,56
13-03-15,Non-Alcoholic Sales,,89
14-03-15,Non-Alcoholic Sales,,167
15-03-15,Non-Alcoholic Sales,,71
16-03-15,Non-Alcoholic Sales,,46
17-03-15,Non-Alcoholic Sales,,42
18-03-15,Non-Alcoholic Sales,,88
20-03-15,Non-Alcoholic Sales,,84
20-03-15,Non-Alcoholic Sales,,47
21-03-15,Non-Alcoholic Sales,,145
22-03-15,Non-Alcoholic Sales,,57
23-03-15,Non-Alcoholic Sales,,43
24-03-15,Non-Alcoholic Sales,,83
25-03-15,Non-Alcoholic Sales,,78
26-03-15,Non-Alcoholic Sales,,53
27-03-15,Non-Alcoholic Sales,,96
28-03-15,Non-Alcoholic Sales,,190
29-03-15,Non-Alcoholic Sales,,79
30-03-15,Non-Alcoholic Sales,,40
30-03-15,Non-Alcoholic Sales,,51
01-04-15,Non-Alcoholic Sales,,38
02-04-15,Non-Alcoholic Sales,,130
03-04-15,Non-Alcoholic Sales,,66
04-04-15,Non-Alcoholic Sales,,141
05-04-15,Non-Alcoholic Sales,,45
07-04-15,Non-Alcoholic Sales,,84
08-04-15,Non-Alcoholic Sales,,65
09-04-15,Non-Alcoholic Sales,,78
10-04-15,Non-Alcoholic Sales,,156
11-04-15,Non-Alcoholic Sales,,125
12-04-15,Non-Alcoholic Sales,,120
13-04-15,Non-Alcoholic Sales,,13
14-04-15,Non-Alcoholic Sales,,87
15-04-15,Non-Alcoholic Sales,,125
16-04-15,Non-Alcoholic Sales,,110
17-04-15,Non-Alcoholic Sales,,178
18-04-15,Non-Alcoholic Sales,,122
19-04-15,Non-Alcoholic Sales,,53
20-04-15,Non-Alcoholic Sales,,26
21-04-15,Non-Alcoholic Sales,,42
22-04-15,Non-Alcoholic Sales,,95
23-04-15,Non-Alcoholic Sales,,93
24-04-15,Non-Alcoholic Sales,,134
25-04-15,Non-Alcoholic Sales,,133
26-04-15,Non-Alcoholic Sales,,79
27-04-15,Non-Alcoholic Sales,,47
28-04-15,Non-Alcoholic Sales,,43
29-04-15,Non-Alcoholic Sales,,44
30-04-15,Non-Alcoholic Sales,,130
01-05-15,Non-Alcoholic Sales,,236
02-05-15,Non-Alcoholic Sales,,211
03-05-15,Non-Alcoholic Sales,,89
04-05-15,Non-Alcoholic Sales,,34
05-05-15,Non-Alcoholic Sales,,47
06-05-15,Non-Alcoholic Sales,,121
07-05-15,Non-Alcoholic Sales,,69
08-05-15,Non-Alcoholic Sales,,167
09-05-15,Non-Alcoholic Sales,,197
10-05-15,Non-Alcoholic Sales,,364
11-05-15,Non-Alcoholic Sales,,59
12-05-15,Non-Alcoholic Sales,,60
13-05-15,Non-Alcoholic Sales,,73
14-05-15,Non-Alcoholic Sales,,78
15-05-15,Non-Alcoholic Sales,,162
16-05-15,Non-Alcoholic Sales,,222
17-05-15,Non-Alcoholic Sales,,163
18-05-15,Non-Alcoholic Sales,,51
19-05-15,Non-Alcoholic Sales,0,
19-05-15,Non-Alcoholic Sales,,53
20-05-15,Non-Alcoholic Sales,,86
21-05-15,Non-Alcoholic Sales,,344
22-05-15,Non-Alcoholic Sales,0,
22-05-15,Non-Alcoholic Sales,,141
23-05-15,Non-Alcoholic Sales,,135
24-05-15,Non-Alcoholic Sales,,242
25-05-15,Non-Alcoholic Sales,,36
26-05-15,Non-Alcoholic Sales,,184
27-05-15,Non-Alcoholic Sales,,153
28-05-15,Non-Alcoholic Sales,,80
29-05-15,Non-Alcoholic Sales,,192
30-05-15,Non-Alcoholic Sales,,227
31-05-15,Non-Alcoholic Sales,,130
01-06-15,Non-Alcoholic Sales,,34
02-06-15,Non-Alcoholic Sales,,86
03-06-15,Non-Alcoholic Sales,,136
04-06-15,Non-Alcoholic Sales,,70
05-06-15,Non-Alcoholic Sales,,199
06-06-15,Non-Alcoholic Sales,,180
07-06-15,Non-Alcoholic Sales,,176
08-06-15,Non-Alcoholic Sales,,70
09-06-15,Non-Alcoholic Sales,,60
10-06-15,Non-Alcoholic Sales,,280
11-06-15,Non-Alcoholic Sales,,174
12-06-15,Non-Alcoholic Sales,,189
13-06-15,Non-Alcoholic Sales,,217
14-06-15,Non-Alcoholic Sales,,93
14-06-15,Non-Alcoholic Sales,,127
15-06-15,Non-Alcoholic Sales,,46
16-06-15,Non-Alcoholic Sales,,150
17-06-15,Non-Alcoholic Sales,,56
18-06-15,Non-Alcoholic Sales,,116
19-06-15,Non-Alcoholic Sales,,155
20-06-15,Non-Alcoholic Sales,,127
20-06-15,Non-Alcoholic Sales,,179
21-06-15,Non-Alcoholic Sales,,149
22-06-15,Non-Alcoholic Sales,,64
23-06-15,Non-Alcoholic Sales,,112
24-06-15,Non-Alcoholic Sales,,115
25-06-15,Non-Alcoholic Sales,,124
26-06-15,Non-Alcoholic Sales,,139
27-06-15,Non-Alcoholic Sales,,191
28-06-15,Non-Alcoholic Sales,,58
29-06-15,Non-Alcoholic Sales,,100
30-06-15,Non-Alcoholic Sales,,110
30-06-15,Non-Alcoholic Sales,,155
02-07-15,Non-Alcoholic Sales,,126
03-07-15,Non-Alcoholic Sales,,133
04-07-15,Non-Alcoholic Sales,,108
05-07-15,Non-Alcoholic Sales,,79
06-07-15,Non-Alcoholic Sales,,119
07-07-15,Non-Alcoholic Sales,,169
08-07-15,Non-Alcoholic Sales,,96
09-07-15,Non-Alcoholic Sales,,97
10-07-15,Non-Alcoholic Sales,,298
11-07-15,Non-Alcoholic Sales,,101
12-07-15,Non-Alcoholic Sales,,61
13-07-15,Non-Alcoholic Sales,,59
14-07-15,Non-Alcoholic Sales,,117
15-07-15,Non-Alcoholic Sales,,118
16-07-15,Non-Alcoholic Sales,,102
17-07-15,Non-Alcoholic Sales,,118
18-07-15,Non-Alcoholic Sales,,80
19-07-15,Non-Alcoholic Sales,,104
20-07-15,Non-Alcoholic Sales,,108
21-07-15,Non-Alcoholic Sales,,55
22-07-15,Non-Alcoholic Sales,,166
23-07-15,Non-Alcoholic Sales,,95
25-07-15,Non-Alcoholic Sales,,154
26-07-15,Non-Alcoholic Sales,,92
27-07-15,Non-Alcoholic Sales,,76
27-07-15,Non-Alcoholic Sales,,122
28-07-15,Non-Alcoholic Sales,,65
29-07-15,Non-Alcoholic Sales,,87
30-07-15,Non-Alcoholic Sales,,74
31-07-15,Non-Alcoholic Sales,,91
01-08-15,Non-Alcoholic Sales,,110
02-08-15,Non-Alcoholic Sales,,54
04-08-15,Non-Alcoholic Sales,,113
05-08-15,Non-Alcoholic Sales,,93
06-08-15,Non-Alcoholic Sales,,72
07-08-15,Non-Alcoholic Sales,,153
08-08-15,Non-Alcoholic Sales,,157
09-08-15,Non-Alcoholic Sales,,100
10-08-15,Non-Alcoholic Sales,,52
11-08-15,Non-Alcoholic Sales,,78
12-08-15,Non-Alcoholic Sales,,56
13-08-15,Non-Alcoholic Sales,,249
14-08-15,Non-Alcoholic Sales,,163
15-08-15,Non-Alcoholic Sales,,203
16-08-15,Non-Alcoholic Sales,,56
17-08-15,Non-Alcoholic Sales,,168
18-08-15,Non-Alcoholic Sales,,74
19-08-15,Non-Alcoholic Sales,,151
20-08-15,Non-Alcoholic Sales,,107
21-08-15,Non-Alcoholic Sales,,105
22-08-15,Non-Alcoholic Sales,,112
23-08-15,Non-Alcoholic Sales,,99
24-08-15,Non-Alcoholic Sales,,129
25-08-15,Non-Alcoholic Sales,,107
26-08-15,Non-Alcoholic Sales,,127
27-08-15,Non-Alcoholic Sales,,118
28-08-15,Non-Alcoholic Sales,,125
29-08-15,Non-Alcoholic Sales,,177
30-08-15,Non-Alcoholic Sales,,118
