,month,f_food,f_beverage,f_wine,f_liquor,f_beer,f_sales
1,1.0,0.773871918675,0.693095139267,0.799203538917,0.732463192692,0.64070695553,0.774471019561
2,2.0,0.6884523212,0.651876209523,0.687805072857,0.681886043315,0.524230330673,0.683625222666
3,3.0,0.901560191436,0.958500218321,0.906301391605,0.861937784645,0.771165906499,0.900021314244
4,4.0,0.936263316768,0.972545510412,0.949010311601,0.84192844246,0.858822690992,0.934758624751
5,5.0,1.28800271461,1.4038014738,1.2144014254,1.29175462393,1.31196550741,1.26961872587
6,6.0,1.3216101006,1.44782946196,1.27569657065,1.34854881741,1.52950399088,1.31677859501
7,7.0,1.16654177595,1.23016382131,1.101432565,1.30000089829,1.54532497149,1.16296477089
8,8.0,1.26077889394,1.27026203863,1.18106510542,1.33694744123,1.54329389966,1.24631748907
9,9.0,1.02839732215,1.0085247457,1.04066272771,1.07295347772,1.20076966933,1.03726555694
10,10.0,0.894312759354,0.836895642752,0.927887401825,0.765577643434,0.828164196123,0.894870138136
11,11.0,0.922680390507,0.873282409828,0.938841455298,0.880928469409,0.764709236032,0.920889782453
12,12.0,0.992479693476,0.909843833386,1.10327390766,1.08129676707,0.793358038769,1.02451066437
