,food_sales,beverage_sales,wine_sales,liquor_sales,beer_sales,total_sales,date,month,f_food,f_beverage,f_wine,f_liquor,f_beer,f_sales,ds_sales,ds_food,ds_beverage,ds_wine,ds_liquor,ds_beer
0,48940.0,2162.0,26400.0,5480.0,2237.0,85219.0,2011-09-30,9,1.02839732215,1.0085247457,1.04066272771,1.07295347772,1.20076966933,1.03726555694,82157.3602145,47588.6108858,2143.72528708,25368.4496399,5107.39758415,1862.97177314
1,91336.0,5275.0,43881.0,7741.0,3027.0,151260.0,2012-09-30,9,1.02839732215,1.0085247457,1.04066272771,1.07295347772,1.20076966933,1.03726555694,145825.723208,88813.9224329,5230.41206724,42166.3991912,7214.66509104,2520.88312798
2,77047.0,3820.0,37841.0,7769.0,2629.0,129106.0,2013-09-30,9,1.02839732215,1.0085247457,1.04066272771,1.07295347772,1.20076966933,1.03726555694,124467.643927,74919.4871867,3787.71072926,36362.4054099,7240.76128307,2189.42905301
3,77009.0,3149.0,37153.0,5600.0,2619.0,125530.0,2014-09-30,9,1.02839732215,1.0085247457,1.04066272771,1.07295347772,1.20076966933,1.03726555694,121020.117905,74882.5364876,3122.38248336,35701.2882375,5219.23840716,2181.10106118
4,69353.0,2917.0,42925.0,6589.0,3529.0,125313.0,2015-09-30,9,1.02839732215,1.0085247457,1.04066272771,1.07295347772,1.20076966933,1.03726555694,120810.914005,67437.943007,2892.34350713,41247.7538178,6140.99319014,2938.94831802
5,64944.0,3222.0,29866.0,5435.0,2222.0,105689.0,2011-10-31,10,0.894312759354,0.836895642752,0.927887401825,0.765577643434,0.828164196123,0.894870138136,118105.404903,72618.890115,3849.94237681,32187.0950519,7099.21462129,2683.04281977
6,68291.0,2648.0,37018.0,5278.0,1707.0,114942.0,2012-10-31,10,0.894312759354,0.836895642752,0.927887401825,0.765577643434,0.828164196123,0.894870138136,128445.452699,76361.42869,3164.07430596,39894.9268275,6894.14071227,2061.18546055
7,69709.0,3514.0,36975.0,5141.0,2843.0,118182.0,2013-10-31,10,0.894312759354,0.836895642752,0.927887401825,0.765577643434,0.828164196123,0.894870138136,132066.089775,77947.0037421,4198.85087279,39848.5849978,6715.19086809,3432.89412089
8,55356.0,2638.0,29850.0,3843.0,1613.0,93300.0,2014-10-31,10,0.894312759354,0.836895642752,0.927887401825,0.765577643434,0.828164196123,0.894870138136,104260.938011,61897.8085921,3152.12538486,32169.8515804,5019.73905973,1947.68139887
9,57967.0,2353.0,34096.0,3977.0,1299.0,99692.0,2015-10-31,10,0.894312759354,0.836895642752,0.927887401825,0.765577643434,0.828164196123,0.894870138136,111403.873871,64817.3688608,2811.58113366,36745.8378387,5194.77029418,1568.52953325
10,57163.0,3189.0,27308.0,8135.0,2453.0,98248.0,2011-11-30,11,0.922680390507,0.873282409828,0.938841455298,0.880928469409,0.764709236032,0.920889782453,106688.120416,61953.1969988,3651.73964815,29086.9132865,9234.57497685,3207.7551629
11,75526.0,2522.0,42703.0,6718.0,1724.0,129193.0,2012-11-30,11,0.922680390507,0.873282409828,0.938841455298,0.880928469409,0.764709236032,0.920889782453,140291.490319,81854.996353,2887.95465432,45484.7831431,7626.0448303,2254.45165138
12,75003.0,3571.0,39061.0,5469.0,1589.0,124693.0,2013-11-30,11,0.922680390507,0.873282409828,0.938841455298,0.880928469409,0.764709236032,0.920889782453,135404.912049,81288.169524,4089.16973457,41605.5339052,6208.2225628,2077.91396406
13,58887.0,3041.0,28147.0,3219.0,1491.0,94785.0,2014-11-30,11,0.922680390507,0.873282409828,0.938841455298,0.880928469409,0.764709236032,0.920889782453,102927.62696,63821.6663168,3482.26411728,29980.5679023,3654.0991826,1949.76067994
14,59720.0,2677.0,32567.0,3700.0,1685.0,100349.0,2015-11-30,11,0.922680390507,0.873282409828,0.938841455298,0.880928469409,0.764709236032,0.920889782453,108969.609515,64724.4708074,3065.44591975,34688.4980592,4200.11400299,2203.45187505
15,63094.0,3527.0,30476.0,6749.0,1839.0,105685.0,2011-12-31,12,0.992479693476,0.909843833386,1.10327390766,1.08129676707,0.793358038769,1.02451066437,103156.564081,63572.0815396,3876.48942662,27623.2400572,6241.57974533,2317.9950415
16,78871.0,2272.0,50744.0,9442.0,1913.0,143242.0,2012-12-31,12,0.992479693476,0.909843833386,1.10327390766,1.08129676707,0.793358038769,1.02451066437,139815.04047,79468.628445,2497.13183365,45994.0180293,8732.10786122,2411.26944774
17,70176.0,3296.0,40913.0,5519.0,1531.0,121435.0,2013-12-31,12,0.992479693476,0.909843833386,1.10327390766,1.08129676707,0.793358038769,1.02451066437,118529.756911,70707.7439078,3622.59970234,37083.2661917,5104.05669202,1929.77183716
18,61920.0,3068.0,31791.0,5766.0,1753.0,104298.0,2014-12-31,12,0.992479693476,0.909843833386,1.10327390766,1.08129676707,0.793358038769,1.02451066437,101802.747036,62389.185801,3372.0072472,28815.1471537,5332.48611817,2209.59505587
19,76922.0,3465.0,45599.0,5961.0,2241.0,134188.0,2015-12-31,12,0.992479693476,0.909843833386,1.10327390766,1.08129676707,0.793358038769,1.02451066437,130977.650763,77504.8603066,3808.34586426,41330.6248644,5512.82513882,2824.70195106
20,57403.0,2844.0,27069.0,5773.0,2104.0,95193.0,2012-01-31,1,0.773871918675,0.693095139267,0.799203538917,0.732463192692,0.64070695553,0.774471019561,122913.572743,74176.3573723,4103.33277334,33869.9701414,7881.6247118,3283.87257519
21,60320.0,1779.0,32964.0,6570.0,1307.0,102940.0,2013-01-31,1,0.773871918675,0.693095139267,0.799203538917,0.732463192692,0.64070695553,0.774471019561,132916.529347,77945.7149748,2566.74718839,41246.0636056,8969.73399558,2039.93415198
22,55113.0,2389.0,28798.0,3920.0,1354.0,91574.0,2014-01-31,1,0.773871918675,0.693095139267,0.799203538917,0.732463192692,0.64070695553,0.774471019561,118240.705833,71217.2113628,3446.85724174,36033.3739751,5351.8047584,2113.29062111
23,48515.0,2443.0,26934.0,3424.0,1582.0,82898.0,2015-01-31,1,0.773871918675,0.693095139267,0.799203538917,0.732463192692,0.64070695553,0.774471019561,107038.220806,62691.2526857,3524.76862352,33701.0519704,4674.63762571,2469.14753515
24,52323.0,2450.0,28768.0,2963.0,1145.0,87649.0,2016-01-31,1,0.773871918675,0.693095139267,0.799203538917,0.732463192692,0.64070695553,0.774471019561,113172.73053,67611.9636045,3534.86824708,35995.8366038,4045.25446407,1787.0884499
25,54102.0,2811.0,26043.0,5356.0,1772.0,90084.0,2012-02-29,2,0.6884523212,0.651876209523,0.687805072857,0.681886043315,0.524230330673,0.683625222666,131773.955982,78584.9627258,4312.16841317,37863.9254459,7854.68488834,3380.19358347
