date,food_sales,beverage_sales,wine_sales,liquor_sales,beer_sales,total_sales,date,dow
2011-11-20,1526.0,88.0,577.0,72.0,57.0,2320.0,2011-11-20,Sun
2011-11-22,1359.0,35.0,628.0,49.0,46.0,2117.0,2011-11-22,Tue
2011-11-23,2055.0,135.0,656.0,117.0,51.0,3014.0,2011-11-23,Wed
2011-11-24,2507.0,-72.0,961.0,298.0,185.0,3879.0,2011-11-24,Thu
2011-11-25,3622.0,197.0,1782.0,348.0,64.0,6013.0,2011-11-25,Fri
2011-11-26,3933.0,226.0,1315.0,265.0,114.0,5853.0,2011-11-26,Sat
2011-11-27,2437.0,152.0,1020.0,76.0,71.0,3756.0,2011-11-27,Sun
2011-11-29,2138.0,127.0,926.0,149.0,98.0,3438.0,2011-11-29,Tue
2011-11-30,-1528.0,62.0,1246.0,3466.0,103.0,3349.0,2011-11-30,Wed
2011-12-01,2224.0,131.0,877.0,202.0,116.0,3550.0,2011-12-01,Thu
2011-12-02,3690.0,207.0,1793.0,178.0,160.0,6028.0,2011-12-02,Fri
2011-12-03,4330.0,245.0,1898.0,332.0,197.0,7002.0,2011-12-03,Sat
2011-12-04,1241.0,72.0,592.0,24.0,52.0,1981.0,2011-12-04,Sun
2011-12-06,2196.0,91.0,1113.0,77.0,97.0,3574.0,2011-12-06,Tue
2011-12-07,3139.0,132.0,1608.0,94.0,45.0,5018.0,2011-12-07,Wed
2011-12-08,18.0,-0.0,-0.0,-0.0,-0.0,18.0,2011-12-08,Thu
2011-12-09,7467.0,361.0,2699.0,804.0,206.0,11537.0,2011-12-09,Fri
2011-12-10,1519.0,53.0,797.0,12.0,26.0,2407.0,2011-12-10,Sat
2011-12-11,3449.0,164.0,1923.0,338.0,26.0,5900.0,2011-12-11,Sun
2011-12-13,1908.0,125.0,900.0,214.0,97.0,3244.0,2011-12-13,Tue
2011-12-14,3194.0,164.0,1772.0,290.0,33.0,5453.0,2011-12-14,Wed
2011-12-15,2680.0,176.0,1750.0,372.0,52.0,5030.0,2011-12-15,Thu
2011-12-16,2904.0,21.0,1334.0,184.0,83.0,4526.0,2011-12-16,Fri
2011-12-17,3717.0,167.0,1375.0,236.0,154.0,5649.0,2011-12-17,Sat
2011-12-18,1743.0,95.0,550.0,130.0,69.0,2587.0,2011-12-18,Sun
2011-12-20,2459.0,155.0,1751.0,193.0,57.0,4615.0,2011-12-20,Tue
2011-12-21,3405.0,144.0,2097.0,374.0,57.0,6077.0,2011-12-21,Wed
2011-12-22,2012.0,99.0,1061.0,194.0,58.0,3424.0,2011-12-22,Thu
2011-12-23,2507.0,135.0,824.0,215.0,69.0,3750.0,2011-12-23,Fri
2011-12-29,2527.0,103.0,1195.0,157.0,91.0,4073.0,2011-12-29,Thu
2011-12-30,2378.0,137.0,1210.0,241.0,87.0,4053.0,2011-12-30,Fri
2011-12-31,2387.0,550.0,1357.0,1888.0,7.0,6189.0,2011-12-31,Sat
2012-01-05,2845.0,146.0,1479.0,173.0,65.0,4708.0,2012-01-05,Thu
2012-01-06,3928.0,255.0,1990.0,650.0,161.0,6984.0,2012-01-06,Fri
2012-01-07,5116.0,27.0,2319.0,661.0,373.0,8496.0,2012-01-07,Sat
2012-01-08,1302.0,92.0,424.0,49.0,19.0,1886.0,2012-01-08,Sun
2012-01-10,1487.0,93.0,552.0,98.0,71.0,2301.0,2012-01-10,Tue
2012-01-12,5012.0,189.0,2512.0,388.0,189.0,8290.0,2012-01-12,Thu
2012-01-13,3214.0,139.0,1702.0,332.0,128.0,5515.0,2012-01-13,Fri
2012-01-14,3820.0,199.0,2271.0,364.0,26.0,6680.0,2012-01-14,Sat
2012-01-15,1936.0,105.0,869.0,135.0,20.0,3065.0,2012-01-15,Sun
2012-01-17,1385.0,95.0,592.0,75.0,33.0,2180.0,2012-01-17,Tue
2012-01-18,1716.0,74.0,647.0,173.0,89.0,2699.0,2012-01-18,Wed
2012-01-19,2339.0,105.0,941.0,251.0,84.0,3720.0,2012-01-19,Thu
2012-01-20,3226.0,131.0,1630.0,331.0,141.0,5459.0,2012-01-20,Fri
2012-01-21,3498.0,240.0,1887.0,495.0,110.0,6230.0,2012-01-21,Sat
2012-01-22,1652.0,104.0,574.0,153.0,24.0,2507.0,2012-01-22,Sun
2012-01-24,1008.0,74.0,544.0,115.0,-0.0,1741.0,2012-01-24,Tue
2012-01-26,2073.0,112.0,877.0,142.0,116.0,3320.0,2012-01-26,Thu
2012-01-27,5478.0,235.0,2728.0,632.0,251.0,9324.0,2012-01-27,Fri
2012-01-28,3291.0,230.0,1314.0,345.0,58.0,5238.0,2012-01-28,Sat
2012-01-30,1396.0,124.0,474.0,39.0,37.0,2070.0,2012-01-30,Mon
2012-01-31,1681.0,75.0,743.0,172.0,109.0,2780.0,2012-01-31,Tue
2012-02-01,1542.0,48.0,869.0,41.0,44.0,2544.0,2012-02-01,Wed
2012-02-02,1478.0,75.0,716.0,130.0,38.0,2437.0,2012-02-02,Thu
2012-02-03,3307.0,130.0,1536.0,598.0,83.0,5654.0,2012-02-03,Fri
2012-02-04,4155.0,208.0,2055.0,364.0,128.0,6910.0,2012-02-04,Sat
2012-02-05,1286.0,83.0,368.0,35.0,46.0,1818.0,2012-02-05,Sun
2012-02-07,1096.0,64.0,395.0,43.0,65.0,1663.0,2012-02-07,Tue
2012-02-08,1355.0,67.0,843.0,85.0,57.0,2407.0,2012-02-08,Wed
2012-02-09,1760.0,73.0,882.0,238.0,65.0,3018.0,2012-02-09,Thu
2012-02-10,2970.0,150.0,1274.0,426.0,256.0,5076.0,2012-02-10,Fri
2012-02-11,3786.0,202.0,1814.0,669.0,91.0,6562.0,2012-02-11,Sat
2012-02-12,1016.0,54.0,560.0,116.0,12.0,1758.0,2012-02-12,Sun
2012-02-14,3452.0,152.0,1539.0,290.0,129.0,5562.0,2012-02-14,Tue
2012-02-15,1648.0,84.0,1103.0,250.0,32.0,3117.0,2012-02-15,Wed
